"","mes-de-seq","especie","amostra","tag","total_no_reads_pool","threshold","OTU","no_reads_OTU","final_fate","family","genus","double_checked_CIM","first_species_BLAST","first_species_BOLD","species","seeds_found","notes"
"63","Jul-2024","Myiarchus ferox","246","A",14221,7,"P10_A_01",1271,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora","Clidemia urceolata",NA,NA,NA
"64","Jul-2024","Myiarchus ferox","246","A",14221,7,"P10_A_02",25,1,"Malpighiaceae","Banisteriopsis",NA,"Banisteriopsis caapi","Banisteriopsis muricata",NA,NA,"not contamination bc with tag A, not B, and > 7 reads"
"65","Jul-2024","Myiarchus ferox","246","A",14221,7,"P10_A_03",9,1,"Solanaceae","Solanum",NA,"Capsicum annuum","Datura stramonium",NA,NA,NA
"66","Jul-2024","Myiarchus ferox","246","A",14221,7,"P10_A_04",7,1,"Myrtaceae","Syzygium",NA,"Syzygium tympananthum","Eugenia erythrophylla",NA,NA,NA
"67","Jul-2024","Myiarchus ferox","136","B",14221,7,"P10_B_01",4048,1,"Fabaceae","Albizia",NA,"Schleichera oleosa","Albizia coriaria",NA,NA,"Fabaceae according to BOLD"
"68","Jul-2024","Myiarchus ferox","136","B",14221,7,"P10_B_06",3055,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora","Clidemia urceolata",NA,NA,">97 reads"
"69","Jul-2024","Myiarchus ferox","136","B",14221,7,"P10_B_07",565,1,"Fabaceae","Albizia",NA,"Myroxylon peruiferum","Albizia occidentalis",NA,NA,"Fabaceae according to BOLD"
"70","Jul-2024","Myiarchus ferox","136","B",14221,7,"P10_B_10",42,1,"Solanaceae","Solanum",NA,"Capsicum annuum","Datura stramonium",NA,NA,NA
"71","Jul-2024","Myiarchus ferox","136","B",14221,7,"P10_B_11",27,1,"Apocynaceae","Aspidosperma",NA,"Aspidosperma ramiflorum","Aspidosperma spruceanum",NA,NA,NA
"72","Jul-2024","Pitangus sulphuratus","243","C",14221,7,"P10_C_01",59,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora","Clidemia urceolata",NA,NA,NA
"73","Jul-2024","Turdus amaurochalinus","477","D",14221,7,"P10_D_01",37,1,"Moraceae","Morus",NA,"Milicia regia","Streblus pendulinus",NA,NA,NA
"74","Jul-2024","Turdus amaurochalinus","477","D",14221,7,"P10_D_02",14,1,"Rosaceae","Rubus",NA,"Rubus amabilis","Rubus trivialis",NA,NA,NA
"75","Jul-2024","Turdus leucomelas","481","E",14221,7,"P10_E_01",34,1,"Arecaceae","Syagrus",NA,"Sabal yapa","Acrocomia aculeata",NA,NA,"Syagrus?"
"76","Jul-2024","Turdus leucomelas","481","E",14221,7,"P10_E_02",18,1,"Meliaceae","Guarea",NA,"Guarea guidonia","Guarea guidonia",NA,NA,NA
"77","Jul-2024","Turdus leucomelas","481","E",14221,7,"P10_E_03",9,1,"Primulaceae","Stylogyne",NA,"Embelia philippinensis","Stylogyne cauliflora",NA,NA,NA
"78","Jul-2024","Tachyphonus coronatus","432","H",14221,7,"P10_H_01",24,1,"Salicaceae","Casearia",NA,"Casearia sylvestris","Casearia praecox",NA,NA,NA
"79","Jul-2024","Ramphocelus carbo","110","A",16177,8,"P11_A_01",1310,1,"Solanaeceae","Cestrum",NA,"Nicotiana solanifolia","Nicotiana rustica",NA,NA,NA
"80","Jul-2024","Ramphocelus carbo","110","A",16177,8,"P11_A_02",100,1,"Urticaceae","Cecropia",NA,"Cecropia pachystachya",NA,NA,NA,NA
"81","Jul-2024","Ramphocelus carbo","110","A",16177,8,"P11_A_03",16,1,"Euphorbiaceae","Alchornea",NA,"Alchornea glandulosa",NA,NA,NA,NA
"82","Jul-2024","Ramphocelus carbo","110","A",16177,8,"P11_A_04",31,1,"Rhamnaceae","Gouania",NA,"Gouania lupuloides",NA,NA,NA,NA
"83","Jul-2024","Antilophia galeata","447","B",16177,8,"P11_B_01",4892,1,"Bignoniaceae","Amphilophium",NA,"Amphilophium steyermarkii",NA,NA,NA,"native, climbing"
"84","Jul-2024","Antilophia galeata","447","B",16177,8,"P11_B_02",1876,1,"Urticaceae","Cecropia",NA,"Cecropia palmata",NA,NA,NA,NA
"85","Jul-2024","Antilophia galeata","447","B",16177,8,"P11_B_03",735,1,"Sapindaceae","Serjania/Paullinia",NA,"Serjania brachycarpa",NA,NA,NA,NA
"86","Jul-2024","Antilophia galeata","447","B",16177,8,"P11_B_04",500,1,"Solanaceae","Solanum",NA,"Capsicum annuum",NA,NA,NA,"pimenta, maybe cultivated, herbaceous"
"87","Jul-2024","Antilophia galeata","447","B",16177,8,"P11_B_07",111,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,"> 97 reads"
"88","Jul-2024","Antilophia galeata","447","B",16177,8,"P11_B_08",94,1,"Sapinidaceae","Allophylus",NA,"Rhysotoechia florulenta",NA,NA,NA,NA
"89","Jul-2024","Antilophia galeata","447","B",16177,8,"P11_B_13",38,1,"Verbenaceae","Citharexylum",NA,"Chaenorhinum minus",NA,NA,NA,NA
"90","Jul-2024","Antilophia galeata","447","B",16177,8,"P11_B_17",16,1,"Solanaceae","Nicotiana",NA,"Mandragora caulescens",NA,NA,NA,NA
"91","Jul-2024","Ramphocelus carbo","103","D",16177,8,"P11_D_01",65,1,"Solanaeceae","Solanum","X","Nicotiana solanifolia",NA,NA,NA,NA
"92","Jul-2024","Ramphocelus carbo","103","D",16177,8,"P11_D_02",94,1,"Boraginaceae","Cordia","X","Cordia spinescens",NA,NA,NA,NA
"93","Jul-2024","Arremon flavirostris","099","E",16177,8,"P11_E_01",47,1,"Sapindaceae","Serjania/Paullinia",NA,"Serjania brachycarpa",NA,NA,NA,NA
"94","Jul-2024","Arremon flavirostris","099","E",16177,8,"P11_E_02",26,1,"Solanaeceae","Nicotiana",NA,"Nicotiana solanifolia",NA,NA,NA,"small solanaceae present is probably Solanum americananum"
"95","Jul-2024","Arremon flavirostris","099","E",16177,8,"P11_E_03",9,1,"Polygonaceae","Ruprechtia",NA,"Ruprechtia laxiflora",NA,NA,NA,NA
"96","Jul-2024","Arremon flavirostris","271","H",16177,8,"P11_H_01",24,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,NA
"97","Jul-2024","Ramphocelus carbo","322","A",26460,13,"P12_A_01",1075,1,"Piperaceae","Piper",NA,"Piper chamissonis",NA,NA,NA,NA
"98","Jul-2024","Ramphocelus carbo","322","A",26460,13,"P12_A_02",23,1,"Sapindaceae","Serjania/Paullinia",NA,"Serjania brachycarpa",NA,NA,NA,NA
"99","Jul-2024","Cnemotriccus fuscatus","043","B",26460,13,"P12_B_01",18446,1,"Salicaceae","Casearia","X","Casearia sylvestris",NA,NA,NA,NA
"100","Jul-2024","Cnemotriccus fuscatus","043","B",26460,13,"P12_B_02",1000,1,"Meliaceae","Trichilia","X","Dysoxylum densiflorum",NA,NA,NA,NA
"101","Jul-2024","Cnemotriccus fuscatus","043","B",26460,13,"P12_B_03",146,1,"Combretaceae","Terminalia","X","Terminalia guyanensis",NA,NA,NA,NA
"102","Jul-2024","Cnemotriccus fuscatus","043","B",26460,13,"P12_B_07",25,1,"Salicaceae","Casearia","X","Ryania speciosa",NA,NA,NA,NA
"103","Jul-2024","Thraupis sayaca","212","C",26460,13,"P12_C_01",39,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,NA
"104","Jul-2024","Thraupis sayaca","212","C",26460,13,"P12_C_02",28,1,"Moraceae","Maclura",NA,"Maclura tinctoria",NA,NA,NA,NA
"105","Jul-2024","Pitangus sulphuratus","244","D",26460,13,"P12_D_01",104,1,"Myrtaceae","Psidium","X","Psidium cattleyanum",NA,NA,NA,NA
"106","Jul-2024","Turdus leucomelas","257","E",26460,13,"P12_E_01",68,1,"Myrtaceae","Syzygium",NA,"Syzygium cumini",NA,NA,NA,NA
"107","Jul-2024","Turdus leucomelas","257","E",26460,13,"P12_E_02",22,1,"Fabaceae","Senna",NA,"Conzattia multiflora",NA,NA,NA,NA
"108","Jul-2024","Ramphocelus carbo","321","H",26460,13,"P12_H_01",24,1,"Solanaceae","Solanum",NA,"Solanum tuberosum",NA,NA,NA,NA
"109","Jul-2024","branco","branco","A",996,0,"P13_A_01",22,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,NA
"110","Jul-2024","branco","branco","B",996,0,"P13_B_01",427,1,"Moraceae","Morus",NA,"Milicia regia",NA,NA,NA,NA
"111","Jul-2024","branco","branco","B",996,0,"P13_B_02",97,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora",NA,NA,NA,NA
"112","Jul-2024","branco","branco","B",996,0,"P13_B_03",7,1,"Malpighiaceae","Banisteriopsis",NA,"Banisteriopsis caapi",NA,NA,NA,NA
